
 Event Time in Mabp  , 18.7                , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 17                  , 1                   , Remaining           ,
 17                  , 1                   , Primary             ,
 17                  , 1                   , Secondary In        ,
 17                  , 1                   , Secondary Out       ,
 17                  , 1                   , Liquid              ,
 17                  , 1                   , Vapor               ,
 17                  , 1                   , Water               ,
 17                  , 1                   , Adsorbed            ,
 17                  , 1                   , Inflow              ,
 17                  , 1                   , Outflow             ,
 17                  , 1                   , Top Outflow Layer   ,
 17                  , 1                   , Sid Outflow Layer   ,
 16                  , 2                   , Remaining           ,
 16                  , 2                   , Primary             ,
 16                  , 2                   , Secondary In        ,
 16                  , 2                   , Secondary Out       ,
 16                  , 2                   , Liquid              ,
 16                  , 2                   , Vapor               ,
 16                  , 2                   , Water               ,
 16                  , 2                   , Adsorbed            ,
 16                  , 2                   , Inflow              ,
 16                  , 2                   , Outflow             ,
 16                  , 2                   , Top Outflow Layer   ,
 16                  , 2                   , Sid Outflow Layer   ,
 15                  , 3                   , Remaining           ,
 15                  , 3                   , Primary             ,
 15                  , 3                   , Secondary In        ,
 15                  , 3                   , Secondary Out       ,
 15                  , 3                   , Liquid              ,
 15                  , 3                   , Vapor               ,
 15                  , 3                   , Water               ,
 15                  , 3                   , Adsorbed            ,
 15                  , 3                   , Inflow              ,
 15                  , 3                   , Outflow             ,
 15                  , 3                   , Top Outflow Layer   ,
 15                  , 3                   , Sid Outflow Layer   ,
 14                  , 4                   , Remaining           ,
 14                  , 4                   , Primary             ,
 14                  , 4                   , Secondary In        ,
 14                  , 4                   , Secondary Out       ,
 14                  , 4                   , Liquid              ,
 14                  , 4                   , Vapor               ,
 14                  , 4                   , Water               ,
 14                  , 4                   , Adsorbed            ,
 14                  , 4                   , Inflow              ,
 14                  , 4                   , Outflow             ,
 14                  , 4                   , Top Outflow Layer   ,
 14                  , 4                   , Sid Outflow Layer   ,
 13                  , 5                   , Remaining           ,
 13                  , 5                   , Primary             ,
 13                  , 5                   , Secondary In        ,
 13                  , 5                   , Secondary Out       ,
 13                  , 5                   , Liquid              ,
 13                  , 5                   , Vapor               ,
 13                  , 5                   , Water               ,
 13                  , 5                   , Adsorbed            ,
 13                  , 5                   , Inflow              ,
 13                  , 5                   , Outflow             ,
 13                  , 5                   , Top Outflow Layer   ,
 13                  , 5                   , Sid Outflow Layer   ,
 12                  , 6                   , Remaining           ,
 12                  , 6                   , Primary             ,
 12                  , 6                   , Secondary In        ,
 12                  , 6                   , Secondary Out       ,
 12                  , 6                   , Liquid              ,
 12                  , 6                   , Vapor               ,
 12                  , 6                   , Water               ,
 12                  , 6                   , Adsorbed            ,
 12                  , 6                   , Inflow              ,
 12                  , 6                   , Outflow             ,
 12                  , 6                   , Top Outflow Layer   ,
 12                  , 6                   , Sid Outflow Layer   ,
 11                  , 7                   , Remaining           ,
 11                  , 7                   , Primary             ,
 11                  , 7                   , Secondary In        ,
 11                  , 7                   , Secondary Out       ,
 11                  , 7                   , Liquid              ,
 11                  , 7                   , Vapor               ,
 11                  , 7                   , Water               ,
 11                  , 7                   , Adsorbed            ,
 11                  , 7                   , Inflow              ,
 11                  , 7                   , Outflow             ,
 11                  , 7                   , Top Outflow Layer   ,
 11                  , 7                   , Sid Outflow Layer   ,
 10                  , 8                   , Remaining           ,
 10                  , 8                   , Primary             ,
 10                  , 8                   , Secondary In        ,
 10                  , 8                   , Secondary Out       ,
 10                  , 8                   , Liquid              ,
 10                  , 8                   , Vapor               ,
 10                  , 8                   , Water               ,
 10                  , 8                   , Adsorbed            ,
 10                  , 8                   , Inflow              ,
 10                  , 8                   , Outflow             ,
 10                  , 8                   , Top Outflow Layer   ,
 10                  , 8                   , Sid Outflow Layer   ,
 9                   , 9                   , Remaining           ,
 9                   , 9                   , Primary             ,
 9                   , 9                   , Secondary In        ,
 9                   , 9                   , Secondary Out       ,
