
 Event Time in Mabp  , 35                  , HC Masses in Tons   ,
 Layer               , Facies              , Kerogen             , Generated           , Primary             , Secondary In        , Secondary Out       , Accumulated         , Liquid Petroleum    , Gas                 , Water               , Adsorbed            , Migrated            , Inflow              , OutFlow             , Liq. Density        , Vapor Density       , Layer Name          , Facies Name         , Source Flag         , Reservoir Flag      ,
 10                  , 1                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Hawera Series       , Facies_1            , 0                   , 0                   ,
 9                   , 2                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Nukumaruan          , Facies_2            , 0                   , 0                   ,
 8                   , 3                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Mangapanian         , Facies_3            , 0                   , 0                   ,
 7                   , 4                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Waipipian           , Facies_4            , 0                   , 0                   ,
 6                   , 5                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Opoitian            , Facies_5            , 0                   , 0                   ,
 5                   , 6                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Kapitean            , Facies_6            , 0                   , 0                   ,
 4                   , 7                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Tongaporutuan       , Facies_7            , 0                   , 0                   ,
 3                   , 8                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Waiuan              , Facies_8            , 0                   , 0                   ,
 2                   , 9                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Whaingaroan         , Facies_9            , 0                   , 0                   ,
 1                   , 10                  , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Petromod Buffer     , Facies_10           , 0                   , 0                   ,
