
 Event Time in Mabp  , 80                  , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 9                   , 1                   , Remaining           ,
 9                   , 1                   , Primary             ,
 9                   , 1                   , Secondary In        ,
 9                   , 1                   , Secondary Out       ,
 9                   , 1                   , Liquid              ,
 9                   , 1                   , Vapor               ,
 9                   , 1                   , Water               ,
 9                   , 1                   , Adsorbed            ,
 9                   , 1                   , Inflow              ,
 9                   , 1                   , Outflow             ,
 9                   , 1                   , Top Outflow Layer   ,
 9                   , 1                   , Sid Outflow Layer   ,
 8                   , 2                   , Remaining           ,
 8                   , 2                   , Primary             ,
 8                   , 2                   , Secondary In        ,
 8                   , 2                   , Secondary Out       ,
 8                   , 2                   , Liquid              ,
 8                   , 2                   , Vapor               ,
 8                   , 2                   , Water               ,
 8                   , 2                   , Adsorbed            ,
 8                   , 2                   , Inflow              ,
 8                   , 2                   , Outflow             ,
 8                   , 2                   , Top Outflow Layer   ,
 8                   , 2                   , Sid Outflow Layer   ,
 7                   , 3                   , Remaining           ,
 7                   , 3                   , Primary             ,
 7                   , 3                   , Secondary In        ,
 7                   , 3                   , Secondary Out       ,
 7                   , 3                   , Liquid              ,
 7                   , 3                   , Vapor               ,
 7                   , 3                   , Water               ,
 7                   , 3                   , Adsorbed            ,
 7                   , 3                   , Inflow              ,
 7                   , 3                   , Outflow             ,
 7                   , 3                   , Top Outflow Layer   ,
 7                   , 3                   , Sid Outflow Layer   ,
 6                   , 4                   , Remaining           ,
 6                   , 4                   , Primary             ,
 6                   , 4                   , Secondary In        ,
 6                   , 4                   , Secondary Out       ,
 6                   , 4                   , Liquid              ,
 6                   , 4                   , Vapor               ,
 6                   , 4                   , Water               ,
 6                   , 4                   , Adsorbed            ,
 6                   , 4                   , Inflow              ,
 6                   , 4                   , Outflow             ,
 6                   , 4                   , Top Outflow Layer   ,
 6                   , 4                   , Sid Outflow Layer   ,
 5                   , 5                   , Remaining           ,
 5                   , 5                   , Primary             ,
 5                   , 5                   , Secondary In        ,
 5                   , 5                   , Secondary Out       ,
 5                   , 5                   , Liquid              ,
 5                   , 5                   , Vapor               ,
 5                   , 5                   , Water               ,
 5                   , 5                   , Adsorbed            ,
 5                   , 5                   , Inflow              ,
 5                   , 5                   , Outflow             ,
 5                   , 5                   , Top Outflow Layer   ,
 5                   , 5                   , Sid Outflow Layer   ,
 4                   , 6                   , Remaining           ,
 4                   , 6                   , Primary             ,
 4                   , 6                   , Secondary In        ,
 4                   , 6                   , Secondary Out       ,
 4                   , 6                   , Liquid              ,
 4                   , 6                   , Vapor               ,
 4                   , 6                   , Water               ,
 4                   , 6                   , Adsorbed            ,
 4                   , 6                   , Inflow              ,
 4                   , 6                   , Outflow             ,
 4                   , 6                   , Top Outflow Layer   ,
 4                   , 6                   , Sid Outflow Layer   ,
