
 Event Time in Mabp  , 14                  , HC Masses in Tons   ,
 Layer               , Facies              , Kerogen             , Generated           , Primary             , Secondary In        , Secondary Out       , Accumulated         , Liquid Petroleum    , Gas                 , Water               , Adsorbed            , Migrated            , Inflow              , OutFlow             , Liq. Density        , Vapor Density       , Layer Name          , Facies Name         , Source Flag         , Reservoir Flag      ,
 12                  , 1                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Unnamed             , Facies_1            , 0                   , 0                   ,
 11                  , 2                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Wairoa              , Facies_2            , 0                   , 0                   ,
 10                  , 3                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Tahaenui            , Facies_3            , 0                   , 0                   ,
 9                   , 4                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Opoiti              , Facies_4            , 0                   , 0                   ,
 8                   , 5                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Opoiti LS           , Facies_5            , 0                   , 0                   ,
 7                   , 6                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Poha                , Facies_6            , 0                   , 0                   ,
 6                   , 14                  , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Makareoa Sst        , Facies_14           , 0                   , 0                   ,
 5                   , 13                  , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Pindari MS          , Facies_13           , 0                   , 0                   ,
 4                   , 7                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Makareoa Sst        , Facies_7            , 0                   , 0                   ,
 3                   , 8                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Pindari MS          , Facies_8            , 0                   , 0                   ,
 2                   , 9                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Kauhauroa LS        , Facies_9            , 0                   , 0                   ,
 1                   , 10                  , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Wheao Fm            , Facies_10           , 0                   , 0                   ,
 All                 , All                 , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , All                 , All                 , 0                   , 0                   ,

 Event Time in Mabp  , 13                  , HC Masses in Tons   ,
 Layer               , Facies              , Kerogen             , Generated           , Primary             , Secondary In        , Secondary Out       , Accumulated         , Liquid Petroleum    , Gas                 , Water               , Adsorbed            , Migrated            , Inflow              , OutFlow             , Liq. Density        , Vapor Density       , Layer Name          , Facies Name         , Source Flag         , Reservoir Flag      ,
 12                  , 1                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Unnamed             , Facies_1            , 0                   , 0                   ,
 11                  , 2                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Wairoa              , Facies_2            , 0                   , 0                   ,
 10                  , 3                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Tahaenui            , Facies_3            , 0                   , 0                   ,
 9                   , 4                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Opoiti              , Facies_4            , 0                   , 0                   ,
 8                   , 5                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Opoiti LS           , Facies_5            , 0                   , 0                   ,
 7                   , 6                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Poha                , Facies_6            , 0                   , 0                   ,
 6                   , 14                  , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Makareoa Sst        , Facies_14           , 0                   , 0                   ,
 5                   , 13                  , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Pindari MS          , Facies_13           , 0                   , 0                   ,
 4                   , 7                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Makareoa Sst        , Facies_7            , 0                   , 0                   ,
 3                   , 8                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Pindari MS          , Facies_8            , 0                   , 0                   ,
