
 Event Time in Mabp  , 100                 , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 21                  , 1                   , Remaining           ,
 21                  , 1                   , Primary             ,
 21                  , 1                   , Secondary In        ,
 21                  , 1                   , Secondary Out       ,
 21                  , 1                   , Liquid              ,
 21                  , 1                   , Vapor               ,
 21                  , 1                   , Water               ,
 21                  , 1                   , Adsorbed            ,
 21                  , 1                   , Inflow              ,
 21                  , 1                   , Outflow             ,
 21                  , 1                   , Top Outflow Layer   ,
 21                  , 1                   , Sid Outflow Layer   ,
 20                  , 2                   , Remaining           ,
 20                  , 2                   , Primary             ,
 20                  , 2                   , Secondary In        ,
 20                  , 2                   , Secondary Out       ,
 20                  , 2                   , Liquid              ,
 20                  , 2                   , Vapor               ,
 20                  , 2                   , Water               ,
 20                  , 2                   , Adsorbed            ,
 20                  , 2                   , Inflow              ,
 20                  , 2                   , Outflow             ,
 20                  , 2                   , Top Outflow Layer   ,
 20                  , 2                   , Sid Outflow Layer   ,
 19                  , 3                   , Remaining           ,
 19                  , 3                   , Primary             ,
 19                  , 3                   , Secondary In        ,
 19                  , 3                   , Secondary Out       ,
 19                  , 3                   , Liquid              ,
 19                  , 3                   , Vapor               ,
 19                  , 3                   , Water               ,
 19                  , 3                   , Adsorbed            ,
 19                  , 3                   , Inflow              ,
 19                  , 3                   , Outflow             ,
 19                  , 3                   , Top Outflow Layer   ,
 19                  , 3                   , Sid Outflow Layer   ,
 18                  , 4                   , Remaining           ,
 18                  , 4                   , Primary             ,
 18                  , 4                   , Secondary In        ,
 18                  , 4                   , Secondary Out       ,
 18                  , 4                   , Liquid              ,
 18                  , 4                   , Vapor               ,
 18                  , 4                   , Water               ,
 18                  , 4                   , Adsorbed            ,
 18                  , 4                   , Inflow              ,
 18                  , 4                   , Outflow             ,
 18                  , 4                   , Top Outflow Layer   ,
 18                  , 4                   , Sid Outflow Layer   ,
 17                  , 5                   , Remaining           ,
 17                  , 5                   , Primary             ,
 17                  , 5                   , Secondary In        ,
 17                  , 5                   , Secondary Out       ,
 17                  , 5                   , Liquid              ,
 17                  , 5                   , Vapor               ,
 17                  , 5                   , Water               ,
 17                  , 5                   , Adsorbed            ,
 17                  , 5                   , Inflow              ,
 17                  , 5                   , Outflow             ,
 17                  , 5                   , Top Outflow Layer   ,
 17                  , 5                   , Sid Outflow Layer   ,
 16                  , 6                   , Remaining           ,
 16                  , 6                   , Primary             ,
