
 Event Time in Mabp  , 25                  , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 4                   , 1                   , Remaining           ,
 4                   , 1                   , Primary             ,
 4                   , 1                   , Secondary In        ,
 4                   , 1                   , Secondary Out       ,
 4                   , 1                   , Liquid              ,
 4                   , 1                   , Vapor               ,
 4                   , 1                   , Water               ,
 4                   , 1                   , Adsorbed            ,
 4                   , 1                   , Inflow              ,
 4                   , 1                   , Outflow             ,
 4                   , 1                   , Top Outflow Layer   ,
 4                   , 1                   , Sid Outflow Layer   ,
 3                   , 2                   , Remaining           ,
 3                   , 2                   , Primary             ,
 3                   , 2                   , Secondary In        ,
 3                   , 2                   , Secondary Out       ,
 3                   , 2                   , Liquid              ,
 3                   , 2                   , Vapor               ,
 3                   , 2                   , Water               ,
 3                   , 2                   , Adsorbed            ,
 3                   , 2                   , Inflow              ,
 3                   , 2                   , Outflow             ,
 3                   , 2                   , Top Outflow Layer   ,
 3                   , 2                   , Sid Outflow Layer   ,
 2                   , 3                   , Remaining           ,
 2                   , 3                   , Primary             ,
 2                   , 3                   , Secondary In        ,
 2                   , 3                   , Secondary Out       ,
 2                   , 3                   , Liquid              ,
 2                   , 3                   , Vapor               ,
 2                   , 3                   , Water               ,
 2                   , 3                   , Adsorbed            ,
 2                   , 3                   , Inflow              ,
 2                   , 3                   , Outflow             ,
 2                   , 3                   , Top Outflow Layer   ,
 2                   , 3                   , Sid Outflow Layer   ,
 1                   , 4                   , Remaining           ,
 1                   , 4                   , Primary             ,
 1                   , 4                   , Secondary In        ,
 1                   , 4                   , Secondary Out       ,
 1                   , 4                   , Liquid              ,
 1                   , 4                   , Vapor               ,
 1                   , 4                   , Water               ,
 1                   , 4                   , Adsorbed            ,
 1                   , 4                   , Inflow              ,
 1                   , 4                   , Outflow             ,
 1                   , 4                   , Top Outflow Layer   ,
 1                   , 4                   , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 23                  , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 4                   , 1                   , Remaining           ,
 4                   , 1                   , Primary             ,
 4                   , 1                   , Secondary In        ,
 4                   , 1                   , Secondary Out       ,
 4                   , 1                   , Liquid              ,
 4                   , 1                   , Vapor               ,
 4                   , 1                   , Water               ,
 4                   , 1                   , Adsorbed            ,
 4                   , 1                   , Inflow              ,
 4                   , 1                   , Outflow             ,
 4                   , 1                   , Top Outflow Layer   ,
 4                   , 1                   , Sid Outflow Layer   ,
 3                   , 2                   , Remaining           ,
 3                   , 2                   , Primary             ,
 3                   , 2                   , Secondary In        ,
 3                   , 2                   , Secondary Out       ,
 3                   , 2                   , Liquid              ,
 3                   , 2                   , Vapor               ,
 3                   , 2                   , Water               ,
 3                   , 2                   , Adsorbed            ,
 3                   , 2                   , Inflow              ,
 3                   , 2                   , Outflow             ,
 3                   , 2                   , Top Outflow Layer   ,
 3                   , 2                   , Sid Outflow Layer   ,
 2                   , 3                   , Remaining           ,
 2                   , 3                   , Primary             ,
 2                   , 3                   , Secondary In        ,
 2                   , 3                   , Secondary Out       ,
 2                   , 3                   , Liquid              ,
 2                   , 3                   , Vapor               ,
 2                   , 3                   , Water               ,
 2                   , 3                   , Adsorbed            ,
 2                   , 3                   , Inflow              ,
 2                   , 3                   , Outflow             ,
 2                   , 3                   , Top Outflow Layer   ,
 2                   , 3                   , Sid Outflow Layer   ,
 1                   , 4                   , Remaining           ,
 1                   , 4                   , Primary             ,
