
 Event Time in Mabp  , 15.1                , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 2                   , 1                   , Remaining           ,
 2                   , 1                   , Primary             ,
 2                   , 1                   , Secondary In        ,
 2                   , 1                   , Secondary Out       ,
 2                   , 1                   , Liquid              ,
 2                   , 1                   , Vapor               ,
 2                   , 1                   , Water               ,
 2                   , 1                   , Adsorbed            ,
 2                   , 1                   , Inflow              ,
 2                   , 1                   , Outflow             ,
 2                   , 1                   , Top Outflow Layer   ,
 2                   , 1                   , Sid Outflow Layer   ,
 1                   , 2                   , Remaining           ,
 1                   , 2                   , Primary             ,
 1                   , 2                   , Secondary In        ,
 1                   , 2                   , Secondary Out       ,
 1                   , 2                   , Liquid              ,
 1                   , 2                   , Vapor               ,
 1                   , 2                   , Water               ,
 1                   , 2                   , Adsorbed            ,
 1                   , 2                   , Inflow              ,
 1                   , 2                   , Outflow             ,
 1                   , 2                   , Top Outflow Layer   ,
 1                   , 2                   , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 1                   , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 2                   , 1                   , Remaining           ,
 2                   , 1                   , Primary             ,
 2                   , 1                   , Secondary In        ,
 2                   , 1                   , Secondary Out       ,
 2                   , 1                   , Liquid              ,
 2                   , 1                   , Vapor               ,
 2                   , 1                   , Water               ,
 2                   , 1                   , Adsorbed            ,
 2                   , 1                   , Inflow              ,
 2                   , 1                   , Outflow             ,
 2                   , 1                   , Top Outflow Layer   ,
 2                   , 1                   , Sid Outflow Layer   ,
 1                   , 2                   , Remaining           ,
 1                   , 2                   , Primary             ,
 1                   , 2                   , Secondary In        ,
 1                   , 2                   , Secondary Out       ,
 1                   , 2                   , Liquid              ,
 1                   , 2                   , Vapor               ,
 1                   , 2                   , Water               ,
 1                   , 2                   , Adsorbed            ,
 1                   , 2                   , Inflow              ,
 1                   , 2                   , Outflow             ,
 1                   , 2                   , Top Outflow Layer   ,
 1                   , 2                   , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 0                   , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 2                   , 1                   , Remaining           ,
 2                   , 1                   , Primary             ,
 2                   , 1                   , Secondary In        ,
 2                   , 1                   , Secondary Out       ,
 2                   , 1                   , Liquid              ,
 2                   , 1                   , Vapor               ,
 2                   , 1                   , Water               ,
 2                   , 1                   , Adsorbed            ,
 2                   , 1                   , Inflow              ,
 2                   , 1                   , Outflow             ,
 2                   , 1                   , Top Outflow Layer   ,
 2                   , 1                   , Sid Outflow Layer   ,
 1                   , 2                   , Remaining           ,
 1                   , 2                   , Primary             ,
 1                   , 2                   , Secondary In        ,
 1                   , 2                   , Secondary Out       ,
 1                   , 2                   , Liquid              ,
 1                   , 2                   , Vapor               ,
 1                   , 2                   , Water               ,
 1                   , 2                   , Adsorbed            ,
 1                   , 2                   , Inflow              ,
 1                   , 2                   , Outflow             ,
 1                   , 2                   , Top Outflow Layer   ,
 1                   , 2                   , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,
